data,regiao,produto,categoria,quantidade,preco_unitario,receita
2025-10-02,Sul,Mouse,Periféricos,5,131.56,657.8
2025-10-02,Nordeste,Cadeira Gamer,Móveis,4,1576.6,6306.4
2025-10-02,Sudeste,Mesa,Móveis,1,932.86,932.86
2025-10-02,Nordeste,Mesa,Móveis,7,941.6,6591.2
2025-10-03,Centro-Oeste,Notebook,Eletrônicos,3,3558.96,10676.88
2025-10-04,Nordeste,Cadeira Gamer,Móveis,5,1603.74,8018.7
2025-10-05,Centro-Oeste,Notebook,Eletrônicos,6,3223.23,19339.38
2025-10-06,Sudeste,Monitor,Eletrônicos,7,1141.02,7987.14
2025-10-06,Sudeste,Teclado,Periféricos,6,244.62,1467.72
2025-10-07,Sul,Cadeira Gamer,Móveis,3,1610.04,4830.12
2025-10-07,Sudeste,Cadeira Gamer,Móveis,1,1560.26,1560.26
2025-10-08,Sudeste,Teclado,Periféricos,4,263.87,1055.48
2025-10-10,Sul,Cadeira Gamer,Móveis,4,1552.38,6209.52
2025-10-10,Sudeste,Monitor,Eletrônicos,7,1250.46,8753.22
2025-10-10,Sul,Cadeira Gamer,Móveis,7,1431.96,10023.72
2025-10-12,Nordeste,Monitor,Eletrônicos,6,1146.73,6880.38
2025-10-12,Norte,Mouse,Periféricos,7,128.99,902.93
2025-10-15,Sul,Monitor,Eletrônicos,2,1198.59,2397.18
2025-10-15,Nordeste,Teclado,Periféricos,1,255.17,255.17
2025-10-16,Sudeste,Cadeira Gamer,Móveis,5,1559.46,7797.3
2025-10-18,Nordeste,Cadeira Gamer,Móveis,6,1449.22,8695.32
2025-10-19,Sudeste,Teclado,Periféricos,2,251.01,502.02
2025-10-19,Sudeste,Monitor,Eletrônicos,4,1214.76,4859.04
2025-10-20,Sudeste,Mouse,Periféricos,3,116.32,348.96
2025-10-20,Nordeste,Notebook,Eletrônicos,4,3597.31,14389.24
2025-10-21,Sul,Mesa,Móveis,2,865.36,1730.72
2025-10-23,Centro-Oeste,Mesa,Móveis,2,859.47,1718.94
2025-10-24,Centro-Oeste,Mouse,Periféricos,1,122.17,122.17
2025-10-25,Sul,Notebook,Eletrônicos,2,3520.68,7041.36
2025-10-27,Sul,Monitor,Eletrônicos,2,1316.02,2632.04
2025-10-27,Nordeste,Mouse,Periféricos,5,115.64,578.2
2025-10-28,Sudeste,Monitor,Eletrônicos,1,1084.36,1084.36
2025-10-28,Sudeste,Cadeira Gamer,Móveis,2,1553.29,3106.58
2025-10-28,Sul,Mouse,Periféricos,2,108.56,217.12
2025-10-29,Nordeste,Mesa,Móveis,1,899.79,899.79
2025-10-29,Sudeste,Mouse,Periféricos,2,121.02,242.04
2025-10-30,Sul,Mouse,Periféricos,5,123.66,618.3
2025-10-30,Sul,Mouse,Periféricos,6,130.56,783.36
2025-10-31,Nordeste,Notebook,Eletrônicos,3,3492.65,10477.95
2025-10-31,Sul,Mesa,Móveis,5,875.08,4375.4
2025-11-03,Sul,Mesa,Móveis,5,951.09,4755.45
2025-11-03,Norte,Mesa,Móveis,1,905.55,905.55
2025-11-03,Sudeste,Notebook,Eletrônicos,3,3694.15,11082.45
2025-11-04,Sul,Monitor,Eletrônicos,7,1319.7,9237.9
2025-11-05,Norte,Notebook,Eletrônicos,2,3296.34,6592.68
2025-11-05,Sul,Notebook,Eletrônicos,4,3777.29,15109.16
2025-11-06,Sul,Cadeira Gamer,Móveis,7,1553.19,10872.33
2025-11-07,Sul,Mesa,Móveis,5,921.92,4609.6
2025-11-08,Sudeste,Notebook,Eletrônicos,6,3170.73,19024.38
2025-11-08,Sudeste,Cadeira Gamer,Móveis,4,1468.39,5873.56
2025-11-09,Norte,Mesa,Móveis,2,930.89,1861.78
2025-11-11,Sudeste,Teclado,Periféricos,2,252.68,505.36
2025-11-11,Sul,Notebook,Eletrônicos,5,3563.52,17817.6
2025-11-11,Sudeste,Cadeira Gamer,Móveis,5,1595.49,7977.45
2025-11-11,Sudeste,Cadeira Gamer,Móveis,6,1540.13,9240.78
2025-11-14,Centro-Oeste,Cadeira Gamer,Móveis,6,1638.96,9833.76
2025-11-15,Nordeste,Notebook,Eletrônicos,2,3629.19,7258.38
2025-11-16,Sul,Notebook,Eletrônicos,6,3414.04,20484.24
2025-11-16,Centro-Oeste,Monitor,Eletrônicos,7,1272.21,8905.47
2025-11-17,Sudeste,Notebook,Eletrônicos,1,3665.69,3665.69
2025-11-17,Sul,Cadeira Gamer,Móveis,6,1423.82,8542.92
2025-11-17,Sudeste,Mesa,Móveis,7,916.89,6418.23
2025-11-19,Sul,Mouse,Periféricos,7,118.0,826.0
2025-11-20,Sudeste,Teclado,Periféricos,6,271.37,1628.22
2025-11-21,Sul,Teclado,Periféricos,3,225.12,675.36
2025-11-21,Norte,Mesa,Móveis,3,854.71,2564.13
2025-11-22,Sudeste,Cadeira Gamer,Móveis,3,1425.96,4277.88
2025-11-22,Nordeste,Cadeira Gamer,Móveis,1,1516.79,1516.79
2025-11-22,Sudeste,Notebook,Eletrônicos,4,3645.66,14582.64
2025-11-23,Sul,Mouse,Periféricos,1,113.89,113.89
2025-11-23,Sudeste,Mesa,Móveis,4,825.14,3300.56
2025-11-27,Nordeste,Notebook,Eletrônicos,1,3719.21,3719.21
2025-11-28,Sudeste,Teclado,Periféricos,2,227.91,455.82
2025-11-29,Sudeste,Teclado,Periféricos,3,274.23,822.69
2025-11-30,Nordeste,Mouse,Periféricos,6,131.28,787.68
2025-11-30,Nordeste,Cadeira Gamer,Móveis,5,1493.25,7466.25
2025-11-30,Norte,Teclado,Periféricos,2,229.24,458.48
2025-12-01,Sudeste,Mouse,Periféricos,6,111.02,666.12
2025-12-02,Nordeste,Mesa,Móveis,4,978.37,3913.48
2025-12-03,Norte,Cadeira Gamer,Móveis,6,1434.18,8605.08
2025-12-04,Nordeste,Cadeira Gamer,Móveis,5,1565.29,7826.45
2025-12-06,Sudeste,Cadeira Gamer,Móveis,2,1588.09,3176.18
2025-12-06,Nordeste,Monitor,Eletrônicos,3,1296.39,3889.17
2025-12-06,Sul,Teclado,Periféricos,4,239.04,956.16
2025-12-07,Norte,Mouse,Periféricos,1,109.57,109.57
2025-12-08,Centro-Oeste,Mouse,Periféricos,4,127.18,508.72
2025-12-08,Sul,Mouse,Periféricos,5,120.42,602.1
2025-12-08,Norte,Monitor,Eletrônicos,4,1203.51,4814.04
2025-12-08,Centro-Oeste,Teclado,Periféricos,7,239.82,1678.74
2025-12-09,Sul,Notebook,Eletrônicos,7,3228.12,22596.84
2025-12-10,Sul,Monitor,Eletrônicos,5,1248.73,6243.65
2025-12-12,Sudeste,Teclado,Periféricos,3,270.36,811.08
2025-12-12,Sudeste,Notebook,Eletrônicos,4,3344.68,13378.72
2025-12-12,Norte,Notebook,Eletrônicos,1,3508.91,3508.91
2025-12-13,Sudeste,Cadeira Gamer,Móveis,2,1648.64,3297.28
2025-12-14,Norte,Cadeira Gamer,Móveis,4,1496.91,5987.64
2025-12-14,Sul,Notebook,Eletrônicos,1,3425.87,3425.87
2025-12-15,Sudeste,Mesa,Móveis,1,839.32,839.32
2025-12-15,Sudeste,Teclado,Periféricos,5,242.1,1210.5
2025-12-17,Sudeste,Notebook,Eletrônicos,2,3674.99,7349.98
2025-12-18,Nordeste,Monitor,Eletrônicos,1,1267.91,1267.91
2025-12-18,Sudeste,Monitor,Eletrônicos,6,1091.75,6550.5
2025-12-23,Sudeste,Mouse,Periféricos,3,127.74,383.22
2025-12-23,Norte,Cadeira Gamer,Móveis,2,1389.33,2778.66
2025-12-23,Sudeste,Mouse,Periféricos,3,122.88,368.64
2025-12-24,Norte,Notebook,Eletrônicos,1,3435.56,3435.56
2025-12-24,Sul,Monitor,Eletrônicos,5,1203.86,6019.3
2025-12-26,Norte,Mesa,Móveis,5,811.93,4059.65
2025-12-27,Sudeste,Teclado,Periféricos,4,255.44,1021.76
2025-12-27,Sul,Monitor,Eletrônicos,4,1119.82,4479.28
2025-12-28,Nordeste,Notebook,Eletrônicos,4,3771.3,15085.2
2025-12-29,Sudeste,Mesa,Móveis,1,890.68,890.68
2025-12-29,Nordeste,Mouse,Periféricos,6,119.06,714.36
2025-12-30,Sul,Cadeira Gamer,Móveis,5,1649.27,8246.35
2025-12-31,Sudeste,Monitor,Eletrônicos,4,1116.11,4464.44
2025-12-31,Sudeste,Notebook,Eletrônicos,4,3221.33,12885.32
